plant symbol,plant scientific name,plant common name,native states (separated by '*'),duration,growth habit,growth period,growth rate,moisture use,adapted to coarse soil,adapted to fine soil,adapted to medium soil,drought tolerance,shade tolerance,temp min (�F),foliage color,flower conspicuous,flower color,bloom period
ACSA3,Acer saccharum,sugar maple,Maine*New Jersey*New Brunswick*North Carolina*Nova Scotia*Massachusetts*South Dakota*Missouri*Kansas*Delaware*Prince Edward Island*West Virginia*Quebec*Minnesota*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Maryland*New Hampshire*New York*Mississippi*Kentucky*Georgia*Ontario*Oklahoma*Arkansas*North Dakota*Vermont*Indiana*Iowa*Michigan*Tennessee*Wisconsin*Alabama*Louisiana*Rhode Island*,Perennial*,Shrub*Tree*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Medium,Tolerant,-47,Green,No,Green,Mid Spring
ACSP2,Acer spicatum,mountain maple,Maine*New Jersey*New Brunswick*North Carolina*Nova Scotia*Massachusetts*Newfoundland*Prince Edward Island*West Virginia*Quebec*Minnesota*Saskatchewan*Virginia*Ohio*Connecticut*Pennsylvania*Maryland*New Hampshire*New York*Kentucky*Georgia*Ontario*Manitoba*Vermont*Iowa*Michigan*Tennessee*Wisconsin*Alabama*Labrador*Rhode Island*,Perennial*,Shrub*Tree*,Spring*Summer*,Moderate,Medium,No,No,Yes,Low,Tolerant,-47,Green,No,Yellow,Spring
ACMI2,Achillea millefolium,common yarrow,Maine*New Jersey*Northwest Territories*Nunavut*Yukon*Hawaii*New Brunswick*North Carolina*Nova Scotia*California*Massachusetts*South Dakota*Washington*Colorado*Missouri*Texas*Kansas*Newfoundland*Delaware*Prince Edward Island*West Virginia*Alaska*Nevada*Quebec*Minnesota*Alberta*Saskatchewan*Virginia*Illinois*British Columbia*Ohio*Utah*Connecticut*Pennsylvania*Nebraska*New Mexico*Maryland*New Hampshire*District of Columbia*New York*Mississippi*Kentucky*Ontario*Arizona*Florida*Georgia*Oklahoma*Manitoba*Arkansas*North Dakota*Wyoming*Montana*Indiana*Iowa*Michigan*Oregon*Tennessee*Alabama*Vermont*Wisconsin*Labrador*Idaho*Louisiana*Rhode Island*South Carolina*,Perennial*,Forb/herb*,Spring*,Moderate,Medium,No,No,Yes,Medium,Intermediate,-38,Green,Yes,White,Early Summer
ACMIO,Achillea millefolium,western yarrow,Maine*New Jersey*Northwest Territories*Nunavut*Yukon*New Brunswick*North Carolina*Nova Scotia*California*Massachusetts*South Dakota*Washington*Colorado*Missouri*Texas*Kansas*Newfoundland*Delaware*Prince Edward Island*West Virginia*Alaska*Nevada*Quebec*Minnesota*Alberta*Saskatchewan*Virginia*Illinois*British Columbia*Ohio*Utah*Connecticut*Pennsylvania*Nebraska*New Mexico*Maryland*New Hampshire*District of Columbia*New York*Mississippi*Kentucky*Ontario*Arizona*Florida*Georgia*Oklahoma*Manitoba*Arkansas*North Dakota*Wyoming*Montana*Indiana*Iowa*Michigan*Oregon*Tennessee*Alabama*Vermont*Wisconsin*Labrador*Idaho*Louisiana*Rhode Island*South Carolina*,Perennial*,Forb/herb*,Spring*,Moderate,Medium,Yes,No,Yes,Medium,Intermediate,-38,Green,Yes,White,Late Spring
ACHY,Achnatherum hymenoides,Indian ricegrass,Yukon*California*South Dakota*Washington*Colorado*Texas*Kansas*Nevada*Minnesota*Alberta*Saskatchewan*British Columbia*Utah*Nebraska*New Mexico*Arizona*Oklahoma*Arkansas*Manitoba*North Dakota*Wyoming*Montana*Oregon*Idaho*,Perennial*,Graminoid*,Spring*Summer*Fall*,Moderate,Low,Yes,No,Yes,High,Intolerant,-43,Green,No,Yellow,Late Spring
ACLEL,Achnatherum lemmonii,Lemmon's needlegrass,Utah*Nevada*Montana*California*Oregon*Washington*Idaho*Arizona*,Perennial*,Graminoid*,Spring*Summer*Fall*,Slow,Low,Yes,No,Yes,High,Intolerant,-28,Green,No,Yellow,Summer
ACLE9,Achnatherum lettermanii,Letterman's needlegrass,Utah*Nevada*Wyoming*Montana*New Mexico*California*Oregon*Colorado*Idaho*Arizona*,Perennial*,Graminoid*,Spring*Summer*Fall*,Slow,Low,Yes,No,Yes,High,Intolerant,-28,Green,No,Yellow,Summer
ACNED,Achnatherum nelsonii,Dore's needlegrass,Utah*Yukon*Nevada*Wyoming*Montana*New Mexico*California*Alberta*Saskatchewan*Oregon*South Dakota*Colorado*Texas*Washington*Idaho*British Columbia*Arizona*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Low,No,No,Yes,High,Intolerant,-28,Green,No,Yellow,Early Summer
ACOCO,Achnatherum occidentale,western needlegrass,California*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Low,Yes,No,Yes,High,Intermediate,-28,Green,No,Yellow,Late Spring
ACSP12,Achnatherum speciosum,desert needlegrass,Utah*Nevada*New Mexico*California*Oregon*Colorado*Arizona*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Low,Yes,No,Yes,High,Intolerant,-13,Green,No,Yellow,Late Spring
ACTH7,Achnatherum thurberianum,Thurber's needlegrass,Utah*Nevada*Wyoming*Montana*California*Oregon*Washington*Colorado*Idaho*,Perennial*,Graminoid*,Spring*Summer*,Moderate,Low,Yes,No,Yes,High,Intolerant,-23,Gray-Green,No,Yellow,Mid Spring
ACOPR,Acmella oppositifolia,oppositeleaf spotflower,Oklahoma*Arkansas*North Carolina*Tennessee*Alabama*Mississippi*Missouri*Texas*Louisiana*Georgia*South Carolina*Florida*,Perennial*,Forb/herb*,Summer*,Rapid,Medium,No,Yes,Yes,Low,Intolerant,-3,Green,Yes,Green,Late Summer
ACCO4,Aconitum columbianum,Columbian monkshood,Utah*Nevada*Wyoming*Montana*Iowa*New Mexico*California*Oregon*South Dakota*Washington*Colorado*Idaho*British Columbia*Arizona*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,Low,Intermediate,-28,Green,Yes,Blue,Early Summer
ACAM,Acorus americanus,sweetflag,Maine*New Jersey*Northwest Territories*New Brunswick*Nova Scotia*Massachusetts*South Dakota*Washington*Newfoundland*Delaware*Prince Edward Island*Alaska*Quebec*Minnesota*Alberta*Saskatchewan*Virginia*Illinois*British Columbia*Ohio*Connecticut*Pennsylvania*Nebraska*New Hampshire*New York*District of Columbia*Ontario*Manitoba*North Dakota*Montana*Indiana*Iowa*Michigan*Vermont*Wisconsin*Idaho*Rhode Island*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,No,Yes,Yes,None,Intolerant,-38,Green,No,Yellow,Late Spring
ACCA4,Acorus calamus,calamus,Maine*New Jersey*New Brunswick*North Carolina*Nova Scotia*California*Massachusetts*South Dakota*Washington*Colorado*Missouri*Texas*Kansas*Delaware*Prince Edward Island*West Virginia*Quebec*Minnesota*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Nebraska*Maryland*New Hampshire*District of Columbia*New York*Mississippi*Kentucky*Georgia*Ontario*Oklahoma*Arkansas*Manitoba*Vermont*Indiana*Iowa*Michigan*Oregon*Tennessee*Alabama*Wisconsin*Louisiana*Rhode Island*South Carolina*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,Yes,No,Yes,None,Intolerant,-38,Green,No,Yellow,Late Spring
ADFA,Adenostoma fasciculatum,chamise,California*Nevada*,Perennial*,Shrub*,Fall*Winter*Spring*,Moderate,Medium,Yes,Yes,Yes,High,Intolerant,32,Dark Green,No,White,Mid Spring
ADCA,Adiantum capillus-veneris,common maidenhair,Hawaii*North Carolina*California*South Dakota*Colorado*Missouri*Texas*Puerto Rico*Nevada*Virginia*British Columbia*Ohio*Utah*New Mexico*Maryland*Mississippi*Kentucky*Georgia*Arizona*Florida*Oklahoma*Arkansas*Tennessee*Alabama*Louisiana*South Carolina*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,No,Yes,Yes,None,Tolerant,-33,Green,No,White,Summer
ADPE,Adiantum pedatum,northern maidenhair,Maine*New Jersey*New Brunswick*North Carolina*Nova Scotia*Massachusetts*South Dakota*Missouri*Kansas*Delaware*West Virginia*Quebec*Minnesota*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Nebraska*Maryland*New Hampshire*District of Columbia*New York*Mississippi*Kentucky*Georgia*Ontario*Oklahoma*Arkansas*Vermont*Indiana*Iowa*Michigan*Tennessee*Wisconsin*Alabama*Louisiana*Rhode Island*South Carolina*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Low,Tolerant,-38,Dark Green,No,Brown,Summer
AECA,Aesculus californica,California buckeye,California*Oregon*,Perennial*,Shrub*Tree*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,High,Intermediate,2,Red,No,White,Summer
AEFL,Aesculus flava,yellow buckeye,New Jersey*West Virginia*North Carolina*Pennsylvania*Indiana*Maryland*District of Columbia*New York*Tennessee*Alabama*Virginia*Mississippi*Kentucky*South Carolina*Illinois*Georgia*Ohio*,Perennial*,Shrub*Tree*,Spring*Summer*,Moderate,High,No,No,Yes,Low,Tolerant,-18,Green,Yes,Yellow,Late Spring
AEGL,Aesculus glabra,Ohio buckeye,Maine*New Jersey*Missouri*Texas*Kansas*West Virginia*Minnesota*Virginia*Illinois*Ohio*Pennsylvania*Nebraska*New Hampshire*New York*Mississippi*Kentucky*Georgia*Ontario*Oklahoma*Arkansas*Indiana*Iowa*Michigan*Tennessee*Wisconsin*Alabama*,Perennial*,Tree*,Spring*Summer*,Rapid,Medium,No,Yes,Yes,Medium,Tolerant,-33,Green,Yes,Green,Mid Spring
AEPA,Aesculus pavia,red buckeye,North Carolina*Missouri*Texas*West Virginia*Virginia*Illinois*Ohio*Mississippi*Kentucky*Georgia*Ontario*Florida*Oklahoma*Arkansas*Indiana*Tennessee*Alabama*Louisiana*South Carolina*,Perennial*,Shrub*Tree*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,Low,Tolerant,-20,Yellow-Green,Yes,Red,Late Spring
AESY,Aesculus sylvatica,painted buckeye,North Carolina*Tennessee*Alabama*Virginia*South Carolina*Georgia*,Perennial*,Shrub*Tree*,Spring*Summer*,Moderate,High,No,No,Yes,Low,Intermediate,7,Green,Yes,Yellow,Mid Spring
AGPA2,Agastache parvifolia,smallleaf giant hyssop,California*,Perennial*,Forb/herb*Subshrub*,Spring*Summer*,Moderate,Low,Yes,No,Yes,High,Intolerant,-23,Dark Green,Yes,Red,Late Spring
AGUR,Agastache urticifolia,nettleleaf giant hyssop,Utah*Nevada*Wyoming*Montana*California*Oregon*Washington*Colorado*Idaho*British Columbia*,Perennial*,Forb/herb*Subshrub*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,Low,Intermediate,-33,Dark Green,Yes,Red,Late Spring
AGAM,Agave americana,American century plant,Hawaii*Virgin Islands*California*Texas*Louisiana*Arizona*Florida*,Perennial*,Forb/herb*Shrub*Subshrub*,Spring*Summer*Fall*,Slow,Low,Yes,No,Yes,High,Intolerant,12,Green,No,Yellow,Indeterminate
AGUT,Agave utahensis,Utah agave,California*Nevada*Utah*Arizona*,Perennial*,Forb/herb*Shrub*Subshrub*,Spring*Summer*,Moderate,Low,Yes,No,Yes,High,Intolerant,-23,Dark Green,Yes,Yellow,Mid Spring
AGAU2,Agoseris aurantiaca,orange agoseris,Northwest Territories*Utah*Alaska*Yukon*Nevada*Wyoming*Quebec*Montana*New Mexico*California*Alberta*Oregon*South Dakota*Washington*Colorado*Idaho*British Columbia*Arizona*,Perennial*,Forb/herb*Subshrub*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,Medium,Intolerant,-33,Green,Yes,Orange,Mid Spring
AGGL,Agoseris glauca,pale agoseris,Northwest Territories*California*South Dakota*Washington*Colorado*Kansas*Alaska*Nevada*Minnesota*Alberta*Saskatchewan*British Columbia*Utah*Nebraska*New Mexico*Ontario*Arizona*Manitoba*North Dakota*Wyoming*Montana*Iowa*Michigan*Oregon*Idaho*,Perennial*,Forb/herb*Shrub*Subshrub*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,Medium,Intolerant,-33,Green,Yes,Yellow,Mid Spring
AGGR,Agoseris grandiflora,bigflower agoseris,Utah*Nevada*Montana*California*Oregon*Washington*Idaho*British Columbia*,Perennial*,Forb/herb*,Spring*,Moderate,Medium,Yes,Yes,Yes,Medium,Intolerant,-13,Green,Yes,Yellow,Spring
AGGR2,Agrimonia gryposepala,tall hairy agrimony,Maine*New Jersey*New Brunswick*North Carolina*Nova Scotia*California*Massachusetts*South Dakota*Washington*Missouri*Kansas*Delaware*Prince Edward Island*West Virginia*Quebec*Minnesota*Virginia*Illinois*British Columbia*Ohio*Connecticut*Pennsylvania*Nebraska*New Mexico*Maryland*New Hampshire*New York*Mississippi*Kentucky*Ontario*Georgia*Arizona*Manitoba*Arkansas*North Dakota*Wyoming*Vermont*Indiana*Iowa*Michigan*Oregon*Tennessee*Alabama*Wisconsin*Louisiana*Rhode Island*South Carolina*,Perennial*,Forb/herb*,Spring*,Moderate,Medium,Yes,No,Yes,Low,Intermediate,-43,Green,No,Yellow,Summer
AGPA6,Agrimonia parviflora,harvestlice,New Jersey*North Carolina*Massachusetts*South Dakota*Missouri*Texas*Kansas*Delaware*West Virginia*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Nebraska*Maryland*New York*District of Columbia*Mississippi*Kentucky*Georgia*Ontario*Oklahoma*Arkansas*Indiana*Iowa*Michigan*Tennessee*Wisconsin*Alabama*Louisiana*South Carolina*,Perennial*,Forb/herb*,Spring*Summer*,Rapid,High,Yes,Yes,Yes,Low,Intermediate,-33,Green,Yes,Yellow,Mid Summer
AGRO3,Agrimonia rostellata,beaked agrimony,New Jersey*North Carolina*Massachusetts*Missouri*Texas*Kansas*Delaware*West Virginia*Minnesota*Virginia*Illinois*Ohio*Connecticut*Pennsylvania*Maryland*New York*District of Columbia*Mississippi*Kentucky*Georgia*Florida*Oklahoma*Arkansas*Indiana*Michigan*Tennessee*Wisconsin*Alabama*Louisiana*South Carolina*,Perennial*,Forb/herb*,Spring*,Moderate,Medium,Yes,No,Yes,Low,Intermediate,-33,Green,No,Yellow,Summer
AGST,Agrimonia striata,roadside agrimony,Maine*New Jersey*New Brunswick*Nova Scotia*Massachusetts*South Dakota*Colorado*Newfoundland*Delaware*Prince Edward Island*West Virginia*Quebec*Minnesota*Alberta*Saskatchewan*British Columbia*Ohio*Connecticut*Pennsylvania*Nebraska*New Mexico*Maryland*New Hampshire*New York*Kentucky*Ontario*Georgia*Arizona*Oklahoma*Manitoba*North Dakota*Wyoming*Montana*Iowa*Michigan*Vermont*Wisconsin*Alabama*Rhode Island*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Medium,Tolerant,-43,Green,Yes,Yellow,Mid Summer
AGCR,Agropyron cristatum,crested wheatgrass,Northwest Territories*Yukon*Nova Scotia*California*Massachusetts*South Dakota*Washington*Colorado*Texas*Kansas*Delaware*Alaska*Nevada*Quebec*Minnesota*Alberta*Saskatchewan*Illinois*British Columbia*Utah*Connecticut*Nebraska*New Mexico*New Hampshire*New York*Kentucky*Ontario*Oklahoma*Manitoba*North Dakota*Wyoming*Montana*Indiana*Iowa*Michigan*Oregon*Labrador*Idaho*,Perennial*,Graminoid*,Spring*Fall*,Moderate,Medium,No,Yes,Yes,High,Intolerant,-28,Green,No,Green,Early Spring
AGDE2,Agropyron desertorum,desert wheatgrass,California*Massachusetts*South Dakota*Colorado*Missouri*Texas*Kansas*Nevada*Illinois*Ohio*Utah*New Mexico*New York*Arizona*North Dakota*Wyoming*Montana*Indiana*Iowa*Oregon*Wisconsin*,Perennial*,Graminoid*,Spring*Fall*,Moderate,Medium,No,Yes,Yes,High,Intolerant,-43,Green,No,Yellow,Early Spring
AGFR,Agropyron fragile,Siberian wheatgrass,Northwest Territories*Utah*Manitoba*Yukon*Nevada*Wyoming*Montana*New Mexico*Alberta*Saskatchewan*South Dakota*Colorado*British Columbia*,Perennial*,Graminoid*,Spring*Fall*,Rapid,Low,Yes,No,Yes,High,Intolerant,-43,Green,No,Yellow,Mid Spring
AGCA4,Agrostis canina,velvet bentgrass,Maine*New Jersey*Hawaii*New Brunswick*Nova Scotia*Massachusetts*Newfoundland*Delaware*Prince Edward Island*West Virginia*Quebec*Minnesota*Connecticut*Pennsylvania*Maryland*New Hampshire*New York*Vermont*Michigan*Oregon*Tennessee*Labrador*Rhode Island*,Perennial*,Graminoid*,Spring*Summer*,Moderate,High,Yes,No,Yes,Low,Intolerant,-33,Green,No,Brown,Mid Spring
